,Unnamed: 0,Ticker,ESG Score,Country
1946,1946,SASMX,26.57,USA
1947,1947,POMIX,22.7,USA
1948,1948,ONECX,22.91,USA
1949,1949,RALAX,23.9,USA
1950,1950,HVORX,23.36,USA
1951,1951,IOCCX,23.89,USA
1952,1952,WISIX,23.65,USA
1953,1953,FZALX,24.55,USA
1954,1954,FEYTX,23.12,USA
1955,1955,SENCX,21.74,USA
1956,1956,MCLOX,22.64,USA
1957,1957,SAHMX,24.76,USA
1958,1958,MFOCX,20.49,USA
1959,1959,MIOLX,21.85,USA
1960,1960,TGVNX,26.93,USA
1961,1961,ETGLX,23.02,USA
1962,1962,WAFMX,27.61,USA
1963,1963,BUFSX,28.14,USA
1964,1964,SWPPX,22.05,USA
1965,1965,GPSTX,23.27,Sweden
1966,1966,MRLSX,19.94,USA
1967,1967,WEUSX,22.77,USA
1968,1968,MMKYX,22.81,USA
1969,1969,FEVAX,23.56,USA
1970,1970,DFRSX,27.35,USA
1971,1971,AIIEX,21.13,USA
1972,1972,VIGRX,20.54,USA
1973,1973,GENIX,23.32,USA
1974,1974,UEPIX,24.33,USA
1975,1975,LAMPX,20.88,USA
1976,1976,SHSSX,26.16,USA
1977,1977,JICPX,21.16,USA
1978,1978,SWTSX,22.73,USA
1979,1979,NBRFX,15.73,USA
1980,1980,CTYRX,18.98,USA
1981,1981,MRGSX,22.19,USA
1982,1982,HSIIX,28.48,USA
1983,1983,PJSQX,27.95,USA
1984,1984,RIDCX,24.39,USA
1985,1985,REVRX,23.45,USA
1986,1986,ONGIX,22.91,USA
1987,1987,WEMMX,31.14,USA
1988,1988,IIRLX,21.83,USA
1989,1989,EMCCX,26.4,USA
1990,1990,MENAX,26.89,USA
1991,1991,NQGCX,23.23,USA
1992,1992,FTRNX,21.82,USA
1993,1993,WFEIX,23.25,USA
1994,1994,MAFGX,20.19,USA
1995,1995,TIGGX,22.76,USA
1996,1996,MFADX,24.03,USA
1997,1997,FIFFX,23.58,USA
1998,1998,NMSCX,28.12,USA
1999,1999,GLNBX,21.73,USA
2000,2000,PRDGX,21.85,USA
2001,2001,HLFNX,21.81,USA
2002,2002,FGINX,23.25,USA
2003,2003,IHOSX,21.67,USA
2004,2004,TRLGX,21.44,USA
2005,2005,S0832.MC,22.96,Spain
2006,2006,GLVIX,21.17,USA
2007,2007,FIMPX,29.28,USA
2008,2008,FIVMX,23.7,USA
2009,2009,HFMTX,24.79,USA
2010,2010,VSVCX,21.71,USA
2011,2011,VLTCX,24.28,USA
2012,2012,IHOTX,21.67,USA
2013,2013,NGQIX,21.79,USA
2014,2014,PHASX,22.2,USA
2015,2015,GWPAX,23.49,USA
2016,2016,SGSCX,27.14,USA
2017,2017,CVCFX,23.28,USA
2018,2018,FSHOX,18.94,USA
2019,2019,OSTVX,22.21,USA
2020,2020,MAPPX,23.48,USA
2021,2021,DEQAX,20.59,USA
2022,2022,CLXRX,22.05,USA
2023,2023,JCVWX,25.64,USA
2024,2024,FDVLX,24.85,USA
2025,2025,VFWAX,23.86,USA
2026,2026,BABYX,23.33,USA
2027,2027,AMTZX,22.64,USA
2028,2028,HVOYX,23.36,USA
2029,2029,IGNCX,29.65,USA
2030,2030,GOGIX,20.03,USA
2031,2031,FHUL.SG,22.55,Germany
2032,2032,EMGYX,24.48,USA
2033,2033,HIASX,27.78,USA
2034,2034,DFEQX,20.46,USA
2035,2035,GMRIX,29.13,USA
2036,2036,RSNKX,41.21,USA
2037,2037,FAFEX,23.91,USA
2038,2038,DWWM.SW,31.79,
2039,2039,MPMCX,23.9,USA
2040,2040,LCDRX,33.71,USA
2041,2041,DFPIX,20.91,USA
2042,2042,HERAX,27.4,USA
2043,2043,EAIDX,23.68,USA
2044,2044,RPRCX,24.99,USA
2045,2045,INPFX,24.72,USA
2046,2046,JYJ7.SW,32.49,
2047,2047,JLCVX,22.81,USA
2048,2048,TRSSX,28.53,USA
2049,2049,DEVIX,27.9,USA
2050,2050,VGENX,31.32,USA
2051,2051,MXTMX,24.65,USA
2052,2052,TRRKX,23.31,USA
2053,2053,TEQCX,21.38,USA
2054,2054,NQVCX,25.02,USA
2055,2055,TGIGX,24.27,USA
2056,2056,NIQVX,19.54,USA
2057,2057,RRRAX,16.9,USA
2058,2058,HSAFX,23.46,USA
2059,2059,URTAX,15.46,USA
2060,2060,S1029.MC,24.98,Spain
