,Company name,Target value,Sector
1277,Nippon Shokubai Europe NV,0.42,Chemicals
1278,"Nippon Weston Co.,Ltd",0.5,"Trading Companies and Distributors, and Commercial Services and Supplies"
1279,Nippon Yusen Kabushiki Kaisha,0.3,Water Transportation - Water Transportation
1280,Nishikawa Communications Co. Ltd.,0.3,"Trading Companies and Distributors, and Commercial Services and Supplies"
1281,"Nishimatsu Construction Co., Ltd",0.25,Construction and Engineering
1282,"Nissan Motor Co., Ltd.",0.325,Automobiles and Components
1283,"Nissin Electric Co., Ltd.",0.35,Electrical Equipment and Machinery
1284,"Nissin Foods Holdings Co., Ltd.",0.3,Food and Beverage Processing
1285,Nito A/S,0.5,Building Products
1286,Nobia AB,0.72,"Consumer Durables, Household and Personal Products"
1287,"Noda Crane Co.,Ltd.",0.42,Construction and Engineering
1288,Nokia Group,0.5,Technology Hardware and Equipment
1289,Nokian Tyres plc,0.52,Tires
1290,Nomad Foods Ltd.,0.75,Food and Beverage Processing
1291,"Nomura Real Estate Holdings, Inc.",0.35,Real Estate
1292,"Nomura Research Institute, Ltd.",0.72,Software and Services
1293,Nordiq Group A/S,0.42,Professional Services
1294,Norfolk Southern Corporation,0.42,Ground Transportation - Railroads Transportation
1295,Norron Asset Management,1.0,"Banks, Diverse Financials, Insurance"
1296,Norstedts Förlagsgrupp AB,0.5,Media
1297,Northern Powergrid,0.63,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1298,NovaTech Automation,0.38,Electrical Equipment and Machinery
1299,Novartis,0.35,"Pharmaceuticals, Biotechnology and Life"
1300,Novo Nordisk A/S,1.0,"Pharmaceuticals, Biotechnology and Life"
1301,Novozymes A/S,1.0,Chemicals
1302,Nutreco,0.58,Food Production - Agricultural Production
1303,Nyskördade Morötter i Fjälkinge AB,0.3,Food Production - Agricultural Production
1304,NØIE,0.42,"Consumer Durables, Household and Personal Products"
1305,O'right,0.42,"Consumer Durables, Household and Personal Products"
1306,O-I Glass,0.25,Containers and Packaging
1307,ODINSA S.A.,0.68,Construction and Engineering
1308,"OHKUMA.Co.,Ltd.",0.3,Construction Materials
1309,OKA Direct Ltd,0.46,Retailing
1310,"OKAMOTOKOKI Co.,LTD",0.42,Automobiles and Components
1311,OMRON Corporation,0.65,Technology Hardware and Equipment
1312,"ONO PHARMACEUTICAL CO., LTD.",0.55,"Pharmaceuticals, Biotechnology and Life"
1313,"OONO CONSTRUCTION CO.,LTD",0.42,Homebuilding
1314,ORANGE,0.296,Telecommunication Services
1315,"ORYZA OIL & FAT CHEMICAL CO., LTD.",0.38,Food and Beverage Processing
1316,"OSAKA KOTETSU Co.,Ltd",0.42,"Mining - Iron, Aluminum, Other Metals"
1317,OSS Nordic AB,0.42,"Trading Companies and Distributors, and Commercial Services and Supplies"
1318,OSW Corporation,0.3,Construction and Engineering
1319,OVS S.p.A,1.0,Retailing
1320,OY Prevex Ab,0.5,Building Products
1321,Obayashi Corporation,0.462,Construction and Engineering
1322,Odata Brasil S.A.,0.23,Real Estate
1323,Oddbox Delivery Ltd,0.42,Food and Staples Retailing
1324,Oesse srl,0.5,Electrical Equipment and Machinery
1325,Oh My Greens AB,0.42,Food Production - Agricultural Production
1326,"Ohkawa Printing Co., Ltd.",0.5,"Trading Companies and Distributors, and Commercial Services and Supplies"
1327,Oilon Group Oy,0.46,Electrical Equipment and Machinery
1328,Okamura Corporation,0.5,"Consumer Durables, Household and Personal Products"
1329,Okartek Oy,0.38,Chemicals
1330,"Okta, Inc",0.67,Software and Services
1331,"Okuji kensan Co.,Ltd",0.25,Building Products
1332,Olam,0.5,Food Production - Agricultural Production
1333,Oleter Group AB,1.0,"Trading Companies and Distributors, and Commercial Services and Supplies"
1334,"Olive Apparel (Cambodia) Co., Ltd.",0.21,"Textiles, Apparel, Footwear and Luxury Goods"
1335,Ololo Farming Company,0.5,Food Production - Agricultural Production
1336,On Running,0.55,"Textiles, Apparel, Footwear and Luxury Goods"
1337,Ontex,1.0,"Consumer Durables, Household and Personal Products"
1338,Open Air Group,0.42,Retailing
1339,Open Farm Inc.,0.42,Food and Beverage Processing
1340,Optimised Energy,0.5,Professional Services
1341,Optimised Group,0.42,Professional Services
1342,Opus Trust Marketing Ltd,0.46,"Trading Companies and Distributors, and Commercial Services and Supplies"
1343,Oriflame Cosmetics,0.5,"Consumer Durables, Household and Personal Products"
1344,Origin Energy,0.5,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1345,Orkla ASA,0.7,Food and Beverage Processing
1346,Orms Designers and Architects Ltd,0.46,Construction and Engineering
1347,Orthex,0.42,"Consumer Durables, Household and Personal Products"
1348,"Osawa Wax Co.,Ltd.",0.42,Containers and Packaging
1349,Osborne Clarke LLP,1.0,Professional Services
1350,"Otsuka Pharmaceutical Co., Ltd.",0.3,"Pharmaceuticals, Biotechnology and Life"
1351,Outokumpu Oyj,0.42,"Mining - Iron, Aluminum, Other Metals"
1352,Owens Corning,0.5,Building Products
1353,Oxwash Ltd,1.0,"Consumer Durables, Household and Personal Products"
1354,"Ozaki Co.,Ltd.",0.38,Solid Waste Management Utilities
1355,PACCAR Inc,0.35,Electrical Equipment and Machinery
1356,PAMA MECANICA E FUNDIÇÃO LTDA,0.42,"Mining - Other (Rare minerals, precious metals and gems)"
1357,PET STAR HOLDING,0.23,Containers and Packaging
1358,"PH-CH SAS : PIPER-HEIDSIECK, CHARLES HEIDSIECK, RARE CHAMPAGNE",0.61,Food and Beverage Processing
1359,PNZ-Produkte GmbH,0.5,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1360,POLA ORBIS HOLDINGS INC,0.42,"Consumer Durables, Household and Personal Products"
1361,PRINCIPIUM SRL,0.23,Software and Services
1362,PSA Automobiles SA,0.37,Automobiles and Components
1363,PUMA SE,0.6,"Textiles, Apparel, Footwear and Luxury Goods"
1364,PVH Corp.,1.0,"Textiles, Apparel, Footwear and Luxury Goods"
1365,Pal International,0.5,Healthcare Equipment and Supplies
1366,Palcut A/S,0.42,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1367,Palladium Group Holdings Pty Ltd,0.67,Professional Services
1368,Panasonic Holdings Corporation,0.3,"Consumer Durables, Household and Personal Products"
1369,Pandora A/S,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
1370,Pangaea Laboratories Limited,0.42,"Consumer Durables, Household and Personal Products"
1371,Pangolin Associates Pty Ltd,0.46,Professional Services
1372,Pantas Software Sdn. Bhd.,0.38,Software and Services
1373,Parade,0.42,"Textiles, Apparel, Footwear and Luxury Goods"
1374,Parfums Christian Dior’s,0.462,"Consumer Durables, Household and Personal Products"
1375,Parkeray Limited,0.38,Construction and Engineering
1376,Parmacotto spa,0.5,Food and Beverage Processing
1377,Pas Normal Studios,0.42,"Consumer Durables, Household and Personal Products"
1378,Pascall+Watson,0.46,Construction and Engineering
1379,Pattern S.P.A.,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
1380,Paulig Group,0.8,Food and Beverage Processing
1381,PayPal,0.75,Software and Services
1382,Peak Design,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
1383,Pearson PLC,0.5,Education Services
1384,Peking Handicraft Inc.,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
1385,Pelorus Consulting,0.46,Professional Services
1386,"PepsiCo, Inc.",0.75,Food and Beverage Processing
1387,Pernod Ricard,1.0,Food and Beverage Processing
1388,Persimmon PLC,0.462,Homebuilding
1389,Perstorp Holding AB,0.462,Chemicals
1390,Petainer,0.5,Containers and Packaging
1391,Pets at Home Group,0.42,Retailing
1392,Pfizer Inc.,1.0,"Pharmaceuticals, Biotechnology and Life"
1393,PharmLog Pharma Logistik GmbH,0.46,"Healthcare Providers and Services, and Healthcare Technology"
1394,Philip Morris International,0.5,Tobacco
1395,Phoenix Zementwerke Krogbeumker GmbH & Co. KG,0.42,Building Products
1396,Physicians Realty Trust,0.3,Real Estate
1397,Pi Group Ltd,0.46,"Trading Companies and Distributors, and Commercial Services and Supplies"
1398,Pictet Group,1.0,"Banks, Diverse Financials, Insurance"
1399,Pihl Holding A/S,0.42,Construction and Engineering
1400,Pilgrim’s Pride Ltd.,0.5,Food and Beverage Processing
1401,Pine Tree Company For Textile Manufacturing PSC,0.21,"Textiles, Apparel, Footwear and Luxury Goods"
1402,Pinsent Masons LLP,0.504,Professional Services
1403,Pip & Nut,0.42,Food and Beverage Processing
1404,Pirelli & C. S.p.A,0.42,Tires
1405,PlanA.Earth GmbH,0.42,Software and Services
1406,Planson International Corporation,0.5,Technology Hardware and Equipment
1407,Plasser UK LLP,0.46,Ground Transportation - Railroads Transportation
1408,Plastic Omnium SE,0.8,Automobiles and Components
1409,Plastigaur,0.5,Chemicals
1410,Platzer Fastigheter Holding AB (publ),0.5,Real Estate
1411,Plus Pack,0.5,Containers and Packaging
1412,Pocoloco Company Limited,0.38,"Consumer Durables, Household and Personal Products"
1413,Polygenta Technologies Limited,0.5,Chemicals
1414,Port International GmbH,0.5,Food and Staples Retailing
1415,Port of Aarhus,0.5,Water Transportation - Ports and Services
1416,Port of Newcastle,0.3,Water Transportation - Ports and Services
1417,Port of Rotterdam Authority,0.9,Water Transportation - Water Transportation
1418,Ports of Auckland Limited,1.0,Water Transportation - Ports and Services
1419,PostNL,1.0,Air Freight Transportation and Logistics
1420,PostNord AB,0.8,Air Freight Transportation and Logistics
1421,Posten Norge AS,0.42,Air Freight Transportation and Logistics
1422,Posti Group Ltd.,0.5,Air Freight Transportation and Logistics
1423,Prada Group,0.42,"Textiles, Apparel, Footwear and Luxury Goods"
1424,PredictX Ltd,0.42,Software and Services
1425,Premier Energy Services Ltd,0.5,Professional Services
1426,Premier Is A/S,0.38,Food and Beverage Processing
1427,Premier Lotteries Ireland DAC,0.5,Specialized Consumer Services
1428,Preqin,1.0,Professional Services
1429,PricewaterhouseCoopers International Limited (PwC IL),0.5,Professional Services
1430,Prime Forest Products LLC,0.42,"Trading Companies and Distributors, and Commercial Services and Supplies"
1431,Procter & Gamble Company,0.5,"Consumer Durables, Household and Personal Products"
1432,"Producción, Industrialización, Comercialización y Asesoría de Hule Natural, S. A.",0.42,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1433,"Product Cia de Importaciones Asiaticas, S.L..",0.3,Retailing
1434,Progress-Werk Oberkirch AG,0.462,Automobiles and Components
1435,Prologis,0.21,Real Estate
1436,Proxima,0.5,Professional Services
1437,Proximus,1.0,Telecommunication Services
1438,Proyecta Spa,0.42,Professional Services
1439,Prysmian Group,0.46,Electrical Equipment and Machinery
1440,Publicis Groupe,0.5,Media
1441,Puffin Produce Ltd,0.46,Food Production - Agricultural Production
1442,Puig S.L.,0.5,"Consumer Durables, Household and Personal Products"
1443,Pukka Herbs,1.0,Retailing
1444,Pulsant Limited,0.46,Software and Services
1445,Q-lite,0.38,Electrical Equipment and Machinery
1446,QBS Technology Group,0.42,Software and Services
1447,Qinetiq,0.5,Aerospace and Defense
1448,"Qingdao Reliance Machinery Co., Ltd",0.42,Construction and Engineering
1449,Quadrangle Architects Limited,0.462,Professional Services
1450,Quzhou Oriental Special Steel Co. Ltd.,0.5,"Mining - Other (Rare Minerals, Precious Metals and Gems)"
1451,RATP,0.7,Ground Transportation - Railroads Transportation
1452,RECRUITERS.IE,0.5,Professional Services
1453,REMA 1000 NORGE AS,0.5,Retailing
1454,REMATEC Holdings Corporation,0.3,Professional Services
1455,"RIKO Industrial Co., Ltd.",0.3,Construction Materials
1456,RJ McLeod (Contractors) Ltd,0.42,Construction and Engineering
1457,"ROHM Co., Ltd.",0.505,Semiconductors and Semiconductors Equipment
1458,RPS Group plc,0.63,Professional Services
1459,RT Knits Ltd,0.77,"Textiles, Apparel, Footwear and Luxury Goods"
1460,RTS Transport Service GmbH,0.3,Ground Transportation - Railroads Transportation
1461,RWE AG,0.5,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1462,Raben Group N.V.,0.77,Air Freight Transportation and Logistics
1463,Radio Flyer Inc.,0.33,"Consumer Durables, Household and Personal Products"
1464,Radisson Hotel Group,0.462,"Hotels, Restaurants and Leisure, and Tourism Services"
1465,Raiffeisen Bank International AG,0.56,"Banks, Diverse Financials, Insurance"
1466,Railpool,0.42,Ground Transportation - Railroads Transportation
1467,Ralf Bohle GmbH | SCHWALBE,0.5,Tires
1468,Ralph Lauren Corporation,1.0,"Textiles, Apparel, Footwear and Luxury Goods"
1469,Ramatex,0.25,"Textiles, Apparel, Footwear and Luxury Goods"
1470,Ramboll Group A/S,0.8,Professional Services
1471,Rathbones Group Plc,1.0,"Banks, Diverse Financials, Insurance"
1472,Rawstone Consulting,0.38,Professional Services
1473,"Re:CS Co.,Ltd.",0.3,Professional Services
1474,"RealTyme, S.A.",0.38,Telecommunication Services
1475,Reckitt Benckiser Group plc,1.0,"Consumer Durables, Household and Personal Products"
1476,Red Electrica de España (Grupo Red Eléctrica) (redeia),0.67,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1477,Red Glead Discovery AB,0.38,"Pharmaceuticals, Biotechnology and Life"
1478,Redstor,0.42,Software and Services
1479,Refinitiv,0.65,Software and Services
1480,Reform,0.42,Retailing
1481,"Reformo Co., Ltd.",0.3,"Trading Companies and Distributors, and Commercial Services and Supplies"
1482,Refurb A/S,0.5,Technology Hardware and Equipment
1483,Regency Centers Corporation,0.28,Real Estate
1484,Reitan Convenience Sweden AB,0.462,Retailing
1485,Reliance Jio Infocomm Limited,1.0,Telecommunication Services
1486,RelineEurope GmbH,0.42,Construction and Engineering
1487,Renesas Electronics Corporation,0.7,Semiconductors and Semiconductors Equipment
1488,Republic Services,0.35,Solid Waste Management Utilities
1489,Resolute Forest Products,0.415,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1490,Restaurant Brands International Inc.,0.5,"Hotels, Restaurants and Leisure, and Tourism Services"
1491,Revenga Smart Solution,0.3,Telecommunication Services
1492,Rexel,0.6,Electrical Equipment and Machinery
1493,Reynaldi SRL SB,0.5,Chemicals
1494,Reynders Etiketten N.V.,0.3,"Trading Companies and Distributors, and Commercial Services and Supplies"
1495,Ricardo PLC,0.9,Professional Services
1496,"Ricoh Co., Ltd.",0.63,Technology Hardware and Equipment
1497,Rikshem AB,0.42,Real Estate
1498,Rise Co.Ltd.,0.46,Electrical Equipment and Machinery
1499,Riskory Consultancy Limited,0.38,Professional Services
1500,Riverside Natural Foods Ltd.,0.42,Food and Beverage Processing
1501,Rizhao Cangyu,0.42,Electrical Equipment and Machinery
1502,Robert Bosch GmbH,1.0,Automobiles and Components
1503,Rockwool Group,0.38,Building Products
1504,Roland Berger,1.0,Professional Services
1505,Ronald Lu & Partners,0.38,Professional Services
1506,Rotork plc,0.42,Electrical Equipment and Machinery
1507,Royal BAM Group,1.0,Construction and Engineering
1508,Royal DSM,0.59,Chemicals
1509,Royal FrieslandCampina N.V.,0.63,Food and Beverage Processing
1510,Royal HaskoningDHV,1.0,Construction and Engineering
1511,Royal Philips,0.75,Electrical Equipment and Machinery
1512,Rubel & Ménasché,0.42,"Mining - Other (Rare minerals, precious metals and gems)"
1513,"Rubicon Technologies, LLC",0.46,Software and Services
1514,RugVista AB,0.46,Retailing
1515,Ryde Technology AS,0.42,Ground Transportation - Trucking Transportation
1516,Rémy Cointreau,1.0,Food and Beverage Processing
1517,S&P Global,0.81,Professional Services
1518,"S-BIC COMPANY, LTD.",0.5,Building Products
1519,S2S Electronics Ltd,0.5,Professional Services
1520,SAINT-GOBAIN,0.33,Building Products
1521,"SAKAKIBARA SEIKI CO., LTD",0.5,Automobiles and Components
1522,SALUS Haus Dr. med. Otto Greither Nachf. GmbH & Co. KG,0.42,"Pharmaceuticals, Biotechnology and Life"
1523,"SANKO RECYCLE Co.,Ltd.",0.42,Solid Waste Management Utilities
1524,SANOFI,0.55,"Pharmaceuticals, Biotechnology and Life"
1525,SANSHIN Inc.,0.3,Building Products
1526,"SANSHUZEN INDUSTRIAL MFG., INC.",0.42,Electrical Equipment and Machinery
1527,SANWA INDUSTRY,0.46,Construction and Engineering
1528,"SANXIN HEAVY INDUSTRY MACHINERY Co., Ltd.",0.42,"Mining - Iron, Aluminum, Other Metals"
1529,SAP SE,0.4,Software and Services
1530,SAS Institute Inc.,0.5,Software and Services
1531,SBS Insurance Services Limited,0.23,"Banks, Diverse Financials, Insurance"
1532,SCANIA CV,0.5,Electrical Equipment and Machinery
1533,SCI Environmental Group Ltd,0.25,Construction and Engineering
1534,SCR-Sibelco NV,0.689,Construction Materials
1535,"SCREEN Holdings Co., Ltd.",0.3,Semiconductors and Semiconductors Equipment
1536,SCSK Corporation,0.47,Software and Services
1537,SDS CO LTD,0.42,Chemicals
1538,SEASONS (HK) LTD.,0.23,"Trading Companies and Distributors, and Commercial Services and Supplies"
1539,SECAN INVESCAST INDIA PRIVATE LIMITED,0.5,Electrical Equipment and Machinery
1540,"SECOM Co., Ltd.",0.45,"Trading Companies and Distributors, and Commercial Services and Supplies"
1541,SEE Holding GmbH,0.23,"Trading Companies and Distributors, and Commercial Services and Supplies"
1542,SEEDWORKS INTERNATIONAL PRIVATE LIMITED,0.23,Food Production - Agricultural Production
1543,"SEGRO plc,",0.42,Real Estate
1544,"SEIKI INDUSTRY Co.,Ltd",0.42,Construction and Engineering
1545,SEIKI SHOKAI CO.LTD.,0.25,"Trading Companies and Distributors, and Commercial Services and Supplies"
1546,"SEKISUI CHEMICAL CO., LTD",0.27,Chemicals
1547,SERVIER,0.52,"Pharmaceuticals, Biotechnology and Life"
1548,SGS SA,0.462,Professional Services
1549,SGV International LLC,0.28,Software and Services
1550,SHIMADZU CORPORATION,0.85,Healthcare Equipment and Supplies
1551,SHINNIHON-KINZOKU,0.42,Electrical Equipment and Machinery
1552,"SHINWA CONSTRUCTION CO., LTD",0.42,Construction and Engineering
1553,SIDEL Group,0.3,Containers and Packaging
1554,SIG,0.6,Containers and Packaging
1555,SILAB,0.3,"Pharmaceuticals, Biotechnology and Life"
1556,SILVERA,0.42,Retailing
1557,SIRO DAC,0.42,Telecommunication Services
1558,"SK Securities, Co., Ltd",0.73,"Banks, Diverse Financials, Insurance"
1559,SK Telecom,0.457,Telecommunication Services
1560,SKYCITY Entertainment Group Limited,0.67,"Hotels, Restaurants and Leisure, and Tourism Services"
1561,SOCAPS,0.5,Professional Services
1562,"SOGIRI Co., Ltd.",0.46,Building Products
1563,SOK Corporation,0.9,Retailing
1564,"SOL-PLUS CO.,LTD",0.5,Automobiles and Components
1565,SOLARPACK CORPORACIÓN TECNOLÓGICA S.A.U.,0.38,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1566,SOMFY,0.5,Electrical Equipment and Machinery
1567,SP Energy Networks,0.672,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1568,SPADEL SA,0.8,Food and Beverage Processing
1569,SPIE,0.67,"Trading Companies and Distributors, and Commercial Services and Supplies"
1570,SSAB,0.35,"Mining - Iron, Aluminum, Other Metals"
1571,SSE,0.802,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1572,SSEN Distribution,0.55,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1573,"STAG Industrial, Inc.",0.5,Real Estate
1574,STARK Group,1.0,Retailing
1575,STHREE PLC,1.0,Professional Services
1576,STMicroelectronics NV,1.0,Semiconductors and Semiconductors Equipment
1577,STP Holding GmbH,0.42,Software and Services
1578,"STUDIO ONION CO., Ltd.",0.42,Food and Staples Retailing
1579,SUEZ,0.46,Water Utilities
1580,"SUMITOMO CHEMICAL Co., Ltd.",0.36,Chemicals
1581,SUND Holding GmbH + Co. KG,0.3,Professional Services
1582,Sabará Participações,0.42,Chemicals
1583,Sabey Data Centers,0.5,Real Estate
1584,Sacyr S.A.,0.42,Construction and Engineering
1585,Safaricom Limited,0.43,Telecommunication Services
1586,Sahashi Tokushuko Kabushikigaisha,0.23,"Trading Companies and Distributors, and Commercial Services and Supplies"
1587,"Sakakibara Industry Co., Ltd.",0.5,Automobiles and Components
1588,SalMar ASA,0.42,Food Production - Animal Source Food Production
1589,Salcomp,0.25,Electrical Equipment and Machinery
1590,"Salesforce.com, Inc.",0.6,Software and Services
1591,Salomon,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
1592,Salvatore Ferragamo Group,0.42,"Textiles, Apparel, Footwear and Luxury Goods"
1593,Samhällsbyggnadsbolaget i Norden AB,0.42,Real Estate
1594,Samson Corporation Ltd,0.5,Real Estate
1595,SanMar Corporation,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
1596,Sanderson Solutions Group PLC,0.42,Professional Services
1597,"Sanki Kosakusho Co., Ltd",0.5,Automobiles and Components
1598,"Santen Pharmaceutical Co., Ltd",0.5,"Pharmaceuticals, Biotechnology and Life"
1599,"Sanyo Paper Co., Ltd.",0.42,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1600,Sappi Limited,0.44,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1601,Save The Duck S.p.A.,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
1602,ScandBook Holding AB,0.42,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1603,Scapa Inter AB,1.0,"Consumer Durables, Household and Personal Products"
1604,Schindler Group,0.5,Electrical Equipment and Machinery
1605,Schneider Electric,1.0,Electrical Equipment and Machinery
1606,Schreiber Foods,0.3,Food and Beverage Processing
1607,Schroders,1.0,"Banks, Diverse Financials, Insurance"
1608,Schwarz Gruppe,0.78,Retailing
1609,Schüco International KG,0.89,Building Products
1610,Scientific Group Ltd ,0.5,Professional Services
1611,Scott Logic Limited,0.38,Software and Services
1612,Scottish Hydro Electric Transmission Plc,0.67,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1613,ScottishPower,1.0,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1614,"Seaflower (Shanghai) Marine Co.,Ltd",0.38,Construction and Engineering
1615,Seagate Technology,0.2,Technology Hardware and Equipment
1616,Sealed Air Corp.,0.46,Containers and Packaging
1617,Seasalt Limited,1.0,"Textiles, Apparel, Footwear and Luxury Goods"
1618,See Group,0.42,Construction Materials
1619,Seiko Epson Corporation,0.44,Technology Hardware and Equipment
1620,Seismic Change Sustainability Limited,0.42,Professional Services
1621,"Sekisui House, LTD",0.5,Homebuilding
1622,Selfridges Retail Ltd.,0.64,Retailing
1623,Senior Plc,0.8,Aerospace and Defense
1624,ServiceNow Inc.,0.7,Software and Services
1625,"Seventh Generation, Inc.",1.0,"Consumer Durables, Household and Personal Products"
1626,Severn Trent,0.7,Water Utilities
1627,Shaftesbury PLC,0.5,Real Estate
1628,"Shanghai Shenzhong Electric Integration Co., Ltd.",0.38,Electrical Equipment and Machinery
1629,"Shanying International Holdings Co., Ltd.",0.39,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1630,Sharp Corporation,0.33,Technology Hardware and Equipment
1631,Shields Environmental Group,0.42,Technology Hardware and Equipment
1632,Shilpa Alloys Private Limited,0.5,"Mining - Iron, Aluminum, Other Metals"
1633,Shimizu Corporation,0.33,Construction and Engineering
1634,Shinhan Financial Group,0.76,"Banks, Diverse Financials, Insurance"
1635,"Shinku Ceramics Co.,Ltd.",0.42,Containers and Packaging
1636,"Shinnihon Printing, Inc.",0.25,"Trading Companies and Distributors, and Commercial Services and Supplies"
1637,"Shinoda Co., Ltd.",0.42,"Trading Companies and Distributors, and Commercial Services and Supplies"
1638,"Shinseinihonkinzoku Co., Ltd.",0.42,Electrical Equipment and Machinery
1639,"Shionogi & Co.,Ltd",0.462,"Pharmaceuticals, Biotechnology and Life"
1640,Shiseido Company Limited,0.425,"Consumer Durables, Household and Personal Products"
1641,Shoe Premier II (Cambodia) CO. Limited,0.47,"Textiles, Apparel, Footwear and Luxury Goods"
1642,Shoosmiths LLP,1.0,Professional Services
1643,Shoprite Holdings (Pty) Ltd,0.42,Retailing
1644,Shree Cement Ltd.,0.271,Construction Materials
1645,Sibanye-Stillwater,0.27,"Mining - Other (Rare Minerals, Precious Metals and Gems)"
1646,Siemens AG,0.5,Electrical Equipment and Machinery
1647,Siemens Energy,1.0,Electrical Equipment and Machinery
1648,"Siemens Gamesa Renewable Energy, S.A.",1.0,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
1649,Siemens Healthineers AG,0.5,Healthcare Equipment and Supplies
1650,Signal Agency Ltd,0.42,Professional Services
1651,Signify,0.7,Electrical Equipment and Machinery
1652,Silentnight Group,0.536,"Consumer Durables, Household and Personal Products"
1653,Simon Property Group,0.68,Real Estate
1654,"Simões, Lda",0.5,Food and Beverage Processing
1655,Singapore Exchange Limited,1.0,"Specialized Financial Services, Consumer Finance, Insurance Brokerage Firms"
1656,Singapore Telecommunications Limited (Singtel),0.42,Telecommunication Services
1657,Sinituote Oy,0.5,"Consumer Durables, Household and Personal Products"
1658,Sinyi Realty Inc.,1.0,Real Estate
1659,Sipsmith,0.46,Food and Beverage Processing
1660,Skanska AB,0.7,Construction and Engineering
1661,Skunkfunk,0.37,"Textiles, Apparel, Footwear and Luxury Goods"
1662,Sky Group,0.5,Media
1663,SkyCell AG,0.42,"Pharmaceuticals, Biotechnology and Life"
1664,Slaughter and May,0.5,Professional Services
1665,Smurfit Kappa Group,0.377,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1666,Snap Inc.,0.35,Software and Services
1667,Société Foncière Lyonnaise,0.5,Real Estate
1668,Sodexo Limited,1.0,"Hotels, Restaurants and Leisure, and Tourism Services"
1669,Sodexo Pass Belgium,1.0,Professional Services
1670,Sodexo S.A.,1.0,"Hotels, Restaurants and Leisure, and Tourism Services"
1671,Sofidel S.p.A.,0.4,"Consumer Durables, Household and Personal Products"
1672,SoftBank Corp.,0.828,Telecommunication Services
1673,Softcat plc,0.45,Software and Services
1674,Soitec,0.353,Semiconductors and Semiconductors Equipment
1675,Solactive AG,0.46,"Specialized Financial Services, Consumer Finance, Insurance Brokerage Firms"
1676,Solo LLC,0.42,Software and Services
1677,Solverminds Solutions & Technologies Pvt Ltd,0.28,Software and Services
1678,"Songan Printing (Shenzhen) Co., Ltd",0.42,"Consumer Durables, Household and Personal Products"
1679,Sonoco Products Company,0.25,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
1680,Sony Group Corporation,0.72,"Consumer Durables, Household and Personal Products"
1681,Sopra Steria Group,0.9,Software and Services
1682,South Pole,0.5,Professional Services
1683,Space Group,0.5,Professional Services
1684,Spark New Zealand,0.7,Telecommunication Services
1685,Specialfastigheter Sverige AB,0.5,Real Estate
1686,Specialist Lines Ltd,0.46,Professional Services
1687,Spectris plc,1.0,Technology Hardware and Equipment
1688,Speed Global Transportation Limited.,0.42,Air Freight Transportation and Logistics
1689,Sponda Ltd,0.46,Real Estate
1690,Stanley Black & Decker,1.0,Electrical Equipment and Machinery
1691,Stantec Inc.,0.47,Professional Services
1692,Stanton Williams,0.5,Professional Services
1693,"Starboard, Airush & SOMWR",0.42,Retailing
1694,Starbucks Coffee Company,0.5,Food and Beverage Processing
1695,Statik,0.5,Media
1696,Steelcase Inc.,0.8,"Consumer Durables, Household and Personal Products"
1697,Steffco Limited t/a Resource,0.46,"Trading Companies and Distributors, and Commercial Services and Supplies"
1698,Stephen Webster Ltd,0.46,"Textiles, Apparel, Footwear and Luxury Goods"
1699,Stokke AS,0.42,"Consumer Durables, Household and Personal Products"
1700,Stonyfield,0.3,Food and Beverage Processing
