,Company name,Target value,Sector
602,Euro Centra Company Limited,0.3,Professional Services
603,Europcar Mobility Group,0.462,Ground Transportation - Trucking Transportation
604,Everlane,0.46,"Textiles, Apparel, Footwear and Luxury Goods"
605,Eversheds Sutherland (International) LLP,0.5,Professional Services
606,Experian,0.501,"Specialized Financial Services, Consumer Finance, Insurance Brokerage Firms"
607,"F.C. Osaka Co.,Ltd",0.38,Professional Services
608,FARFETCH Limited,0.7,Retailing
609,"FAST RETAILING CO., LTD.",1.0,Retailing
610,FBA International USA Inc.,0.38,"Consumer Durables, Household and Personal Products"
611,FDM Group (Holdings) plc,0.62,Professional Services
612,FIRMENICH SA,1.0,"Consumer Durables, Household and Personal Products"
613,FLOTILLA GROUP LIMITED,0.42,Software and Services
614,FLSmidth,1.0,Construction and Engineering
615,FOCCHI SPA UNIPERSONALE,0.46,Building Products
616,"FORMULARIOS EUROPEOS, S.A.",0.5,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
617,FRASERS PROPERTY AUSTRALIA,0.5,Real Estate
618,"FRASERS PROPERTY DEVELOPMENT SERVICES (VIETNAM) CO., LTD.",0.462,Real Estate
619,FSN Capital Partners,1.0,"Banks, Diverse Financials, Insurance"
620,"FUJI ELECTRIC CO., LTD.",0.462,Electrical Equipment and Machinery
621,FUJI OIL HOLDINGS INC.,0.4,Food and Beverage Processing
622,FUJIFILM Holdings Corporation,0.45,Technology Hardware and Equipment
623,"FUJIKYU LOGISTICS CO., LTD.",0.5,Ground Transportation - Trucking Transportation
624,"FUJINO KOUGYOU Co., Ltd.",0.42,Solid Waste Management Utilities
625,Fabasoft AG,0.42,Software and Services
626,Fabege AB,0.5,Real Estate
627,Fairphone B.V,0.46,Technology Hardware and Equipment
628,"FamilyMart Co.,Ltd.",0.3,Food and Staples Retailing
629,Fanuc Corporation,0.42,Electrical Equipment and Machinery
630,"Far EasTone Telecommunications Co., Ltd.",0.2,Telecommunication Services
631,Farmaceutici Procemsa spa,0.23,"Pharmaceuticals, Biotechnology and Life"
632,Farmer Bros. Co,0.3,Food and Beverage Processing
633,Fastweb S.p.A.,1.0,Telecommunication Services
634,Faurecia S.A.,0.8,Automobiles and Components
635,Fazer Group,0.53,Food and Beverage Processing
636,Federal Realty Investment Trust,0.46,Real Estate
637,Ferrero International S.A.,0.5,Food and Beverage Processing
638,Ferrocarrils de la Generalitat de Catalunya,1.0,Ground Transportation - Railroads Transportation
639,Ferrovial,0.429,Construction and Engineering
640,Fever-Tree,0.5,Food and Beverage Processing
641,Fidocar,0.5,Automobiles and Components
642,Findel,0.46,Retailing
643,Fine Grain Property (Ireland) Limited,0.51,Real Estate
644,Finisterre UK Limited,0.42,Retailing
645,First Capital REIT,0.46,Real Estate
646,Fisher & Paykel Healthcare Corporation Limited,0.87,Healthcare Equipment and Supplies
647,Fiskars Corporation,0.6,"Consumer Durables, Household and Personal Products"
648,Fleischtrocknerei Churwalden AG,0.46,Food and Beverage Processing
649,Fletcher Building Limited,0.67,Construction Materials
650,Flex Ltd.,0.7,Technology Hardware and Equipment
651,Flooglebinder,0.5,"Hotels, Restaurants and Leisure, and Tourism Services"
652,Florin AG,0.23,Food and Beverage Processing
653,FlowCon International ApS,0.3,Building Products
654,Fnac Darty,0.8,Retailing
655,Fokus Zukunft GmbH & Co. KG,0.5,Professional Services
656,Fonterra Co-operative Group Limited,0.7,Food and Beverage Processing
657,Foodmark AB,1.0,Food and Beverage Processing
658,Ford Motor Company,0.76,Automobiles and Components
659,Formula E Championship,0.5,Specialized Consumer Services
660,Fors Marsh Group,0.5,Professional Services
661,Fortune Parts Industry Public Company Limited,0.252,Automobiles and Components
662,Forvia,0.8,Automobiles and Components
663,Foyle Food Group,0.28,Food Production - Animal Source Food Production
664,Fr. Schiettinger KG - Werk Brand,0.3,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
665,Framery Trade Oy,0.5,Building Products
666,Franz Kaldewei GmbH & Co. KG,0.28,Building Products
667,Freddie's Flowers,0.5,Retailing
668,Fresh Del Monte Produce Inc.,0.275,Food Production - Agricultural Production
669,Fripa Papierfabrik Albert Friedrich KG,0.28,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
670,Fritz Hansen A/S,0.38,"Consumer Durables, Household and Personal Products"
671,"Fruit of the Loom, Inc.",1.0,"Textiles, Apparel, Footwear and Luxury Goods"
672,Fubon Financial Holdings,0.59,"Banks, Diverse Financials, Insurance"
673,"Fujitoppan Printing CO., LTD.",0.5,"Trading Companies and Distributors, and Commercial Services and Supplies"
674,Fujitsu Limited,0.71,Software and Services
675,Fundição Moreno Ltda,0.38,"Mining - Iron, Aluminum, Other Metals"
676,Funfer Fundição de Ferro LTDA,0.5,"Mining - Iron, Aluminum, Other Metals"
677,"Furukawa Electric Co., Ltd.",0.46,Electrical Equipment and Machinery
678,Fyffes,0.25,Food Production - Agricultural Production
679,G. Güldenpfennig GmbH,0.46,"Textiles, Apparel, Footwear and Luxury Goods"
680,GEA Group,0.6,Construction and Engineering
681,GEKA,0.3,Containers and Packaging
682,"GET-IT CO., LTD.",0.5,Technology Hardware and Equipment
683,GETLINK,0.3,Ground Transportation - Railroads Transportation
684,GFT Technologies,0.6,Professional Services
685,"GODA Co.,Ltd.",0.5,Construction Materials
686,GROUPE RENAULT,0.6,Automobiles and Components
687,GRUPO ELECNOR,0.38,Construction and Engineering
688,GUBI A/S,0.42,"Consumer Durables, Household and Personal Products"
689,"GUUN Co., Ltd.",0.42,Solid Waste Management Utilities
690,Gap Inc.,1.0,Retailing
691,Gebr. Dürrbeck Kunststoffe GmbH,0.5,Chemicals
692,Gecina,0.42,Real Estate
693,Geelen Counterflow,0.5,Electrical Equipment and Machinery
694,GeelongPort,0.5,Water Transportation - Water Transportation
695,General Mills Inc.,0.42,Food and Beverage Processing
696,General Motors,0.72,Automobiles and Components
697,"GenerationHope, Inc.",0.28,Food and Beverage Processing
698,Genesis Energy Ltd,0.36,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
699,Georg Fischer AG,0.346,Electrical Equipment and Machinery
700,Geotab,0.5,Software and Services
701,Gestamp,0.3,Automobiles and Components
702,Ghelamco Poland,0.46,Real Estate
703,"Gifu Sanken Kogyo Co,.Ltd",0.46,Chemicals
704,"Gilead Sciences, Inc.",0.46,"Pharmaceuticals, Biotechnology and Life"
705,Givaudan SA,0.7,"Consumer Durables, Household and Personal Products"
706,Glanbia PLC,0.31,Food and Beverage Processing
707,GlaxoSmithKline,0.34,"Pharmaceuticals, Biotechnology and Life"
708,Global Fashion Group S.A.,0.9,Retailing
709,Global Via Infraestructuras S.A.,0.42,Ground Transportation - Highways and Railtracks
710,Globe-ing Inc.,0.38,Professional Services
711,Glovo,1.0,Software and Services
712,Go-Ahead Holdings Limited,0.75,Ground Transportation - Trucking Transportation
713,GoCardless,1.0,"Specialized Financial Services, Consumer Finance, Insurance Brokerage Firms"
714,Godsinlösen Nordic AB,0.42,"Trading Companies and Distributors, and Commercial Services and Supplies"
715,Good Energy,0.5,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
716,"GoodDr Marketing&Consulting Co.,Ltd",0.42,Professional Services
717,Goodman CE,0.7,Real Estate
718,Goodman Group,0.5,Real Estate
719,Grant Thornton UK LLP,0.21,Professional Services
720,Great Portland Estates plc,0.5,Real Estate
721,Green Element Group,0.21,Professional Services
722,GreenA Consultants Pte Ltd,0.5,Professional Services
723,Greenalia S.A.,0.25,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
724,Greencore Group plc,0.462,Food and Beverage Processing
725,Greenfish SA,0.5,Professional Services
726,Greenstone+,0.5,Technology Hardware and Equipment
727,Greenyard NV,0.7,Food and Beverage Processing
728,Greif Holding GmbH & Co. KG,0.38,"Trading Companies and Distributors, and Commercial Services and Supplies"
729,Grieg Seafood ASA,0.35,Food Production - Animal Source Food Production
730,Grimshaw,0.5,Professional Services
731,Gromax Agri Equipment Limited,0.78,Automobiles and Components
732,Grosvenor Europe Limited,0.5,Real Estate
733,Groupe Bruxelles Lambert,1.0,"Banks, Diverse Financials, Insurance"
734,Groupe Public Ferroviaire (GPF) – SNCF,0.7,Ground Transportation - Railroads Transportation
735,Groupe SEB,0.6,"Consumer Durables, Household and Personal Products"
736,Grundfos Holding A/S,0.5,Electrical Equipment and Machinery
737,"Grupo Audiovisual Mediaset España Comunicación, S.A.U. (GA Mediaset España)",1.0,Media
738,Grupo Bimbo SAB de CV,1.0,Food and Beverage Processing
739,Grupo Ferrer Internacional SA,1.0,"Pharmaceuticals, Biotechnology and Life"
740,Grupo Forma 5,0.5,"Consumer Durables, Household and Personal Products"
741,Grupo Iren Fruits,0.42,Food Production - Agricultural Production
742,Grupo Malwee,0.578,"Textiles, Apparel, Footwear and Luxury Goods"
743,Gruppo Armani,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
744,Grönsaksmästarna Nordic AB,0.5,Food and Staples Retailing
745,"Guangzhou Battsys Co., Ltd.",0.448,Electrical Equipment and Machinery
746,"Guangzhou Non-ferrous Metals Research Institute Xinfeng Wear Resistant Alloy Material Co., LTD.",0.5,"Mining - Iron, Aluminum, Other Metals"
747,Guerlain,0.57,"Consumer Durables, Household and Personal Products"
748,"Guess?, Inc.",0.5,"Textiles, Apparel, Footwear and Luxury Goods"
749,Gugler GmbH,0.5,"Trading Companies and Distributors, and Commercial Services and Supplies"
750,Gulermak Steel Construction Ind. & Trade Co. Inc.,0.42,Construction and Engineering
751,Gustav Spiess AG,0.5,Food and Beverage Processing
752,Gymshark,0.54,"Textiles, Apparel, Footwear and Luxury Goods"
753,H&M Group,1.0,"Textiles, Apparel, Footwear and Luxury Goods"
754,H+H International A/S,0.462,Building Products
755,"HARA TRADING CO., LTD.",0.42,"Trading Companies and Distributors, and Commercial Services and Supplies"
756,"HASHIMOTO METAL CO.,LTD",0.42,Retailing
757,HAZAMA ANDO CORPORATION,0.33,Construction and Engineering
758,HCL Technologies,0.5,Software and Services
759,HEINEKEN N.V.,0.9,Food and Beverage Processing
760,"HEISEI INDUSTRY CO., LTD",0.42,Automobiles and Components
761,"HIGUCHI MANUFACTURING CO., LTD.",0.42,Automobiles and Components
762,HK Electric Investments (HKEI),0.684,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
763,HLD Global Limited,0.38,"Consumer Durables, Household and Personal Products"
764,HNI Corporation,0.4,"Consumer Durables, Household and Personal Products"
765,HOKUBEI SANGYO INC,0.42,Homebuilding
766,"HOU-TECH CO., LTD",0.5,Construction Materials
767,HP Inc,0.65,Technology Hardware and Equipment
768,HS1 Ltd,0.46,Ground Transportation - Highways and Railtracks
769,HUBER+SUHNER Group,0.5,Electrical Equipment and Machinery
770,HYPER Inc.,0.42,"Trading Companies and Distributors, and Commercial Services and Supplies"
771,Haglunds Bygg & Entreprenad AB,0.42,Construction and Engineering
772,"Haiyan Dingsheng Machinery Co., Ltd",0.42,Building Products
773,Halfords Group PLC,1.0,Retailing
774,"Hallmark, Incorporated",1.0,Retailing
775,Hamada Co,0.5,Professional Services
776,Hamamatsu Photonics K.K.,0.76,Electrical Equipment and Machinery
777,"Han Yin (Shanghai) Eco-Materials Technology Co., Ltd.",0.46,Containers and Packaging
778,Hana Financial Group,0.51,"Banks, Diverse Financials, Insurance"
779,"Hangzhou Hengli Metal Processing Co., Ltd",0.38,Construction and Engineering
780,Hannon Armstrong,1.0,"Banks, Diverse Financials, Insurance"
781,Hansa Byggpartner AB,0.42,Construction and Engineering
782,Harch Inc.,0.5,Software and Services
783,Hardscape Group Limited,0.46,Construction Materials
784,"Harita Metal Co.,Ltd.",0.42,Solid Waste Management Utilities
785,Harris Tea Company,0.25,Food and Beverage Processing
786,Hart Miller Design Ltd / MARK Product,0.42,"Consumer Durables, Household and Personal Products"
787,Harvest House,0.42,Food Production - Agricultural Production
788,Haseko Corporation,0.42,Construction and Engineering
789,Hauser & Wirth,0.46,Retailing
790,Hays plc,0.5,Professional Services
791,HeadFirst Group,0.23,Professional Services
792,Healeys Printers Limited,0.42,"Trading Companies and Distributors, and Commercial Services and Supplies"
793,"Healthpeak Properties, Inc.",0.38,Real Estate
794,Heidelberg Materials,0.65,Construction Materials
