,Symbol,Revenuegrowth,ESG rating
62,BKR,17.054810632792282,19.12
63,BLDR,-32.923784006040705,26.73
64,BLK,-0.07839184724788623,18.25
65,BMY,-2.5618806381371373,21.2
66,BR,6.85283088461302,15.48
68,BRO,15.14978330237653,21.11
69,BSX,10.941011235955056,22.06
70,BWA,11.008592759543598,9.93
71,BX,-1.7980492529310375,23.59
72,BXP,5.04000373903834,11.99
73,C,4.0529521188492215,22.12
74,CAG,-1.8762084159689318,26.81
75,CAH,9.63201029859761,11.32
76,CARR,7.588922074395874,16.17
77,CAT,11.382344169400536,28.33
78,CB,13.589290731746479,22.4
79,CBOE,-4.902610308731947,21.46
80,CBRE,3.5087170177470344,6.31
81,CCI,-0.07162297665090961,11.98
82,CCL,43.64377344509795,21.28
83,CDNS,12.916132231259473,11.43
84,CDW,-11.099831586826348,7.49
85,CE,11.581352833638025,24.66
86,CEG,1.9182919977526285,28.49
87,CF,-68.69250490122154,28.0
88,CFG,2.091439688715953,22.97
89,CHD,8.38971352613371,22.65
90,CHRW,-40.35009802833447,17.36
91,CHTR,1.071291226399546,23.69
92,CI,7.764861389334331,12.99
93,CINF,34.45520822930191,23.11
94,CL,7.657912319473711,24.12
95,CLX,-4.173128436486677,20.03
96,CMCSA,0.11927088474319744,22.15
97,CME,10.028858735593039,17.08
98,CMG,12.530804124012107,20.12
99,CMI,17.586966094231617,18.77
100,CMS,-15.196998123827393,20.26
101,CNC,6.137702192871383,15.29
102,CNP,-7.187212511499539,24.78
103,COF,6.896457987876152,21.31
104,COO,7.92608260046755,14.69
105,COP,-39.81582087957108,33.14
106,COR,10.812811092489932,10.97
107,COST,4.780057613783292,29.12
108,CPAY,8.797624303467076,22.46
109,CPB,2.895392278953923,26.3
110,CPRT,8.669349651849984,15.68
111,CPT,7.734689470417832,14.18
112,CRL,3.7135822583812845,18.14
113,CRM,10.055369079381473,14.97
114,CRWD,26.650444845535425,17.75
115,CSCO,-5.938330576361913,12.91
116,CSGP,11.103869653767822,21.24
117,CSX,-1.3372450023879374,21.07
118,CTAS,8.136681527809547,17.03
119,CTLT,2.693448984250171,20.8
120,CTRA,-53.043625295908015,32.75
121,CTSH,-0.38753681599751977,15.19
122,CTVA,-1.3293858121444329,33.76
123,CVS,9.86902419390904,18.27
124,CVX,-19.70616465139427,35.31
125,CZR,6.132893823733519,20.24
126,D,3.161258945320642,28.58
127,DAL,12.861769570011026,30.38
128,DAY,17.671929708660898,17.28
129,DD,-7.863771958899569,26.52
130,DE,14.881821803213386,16.33
131,DECK,15.403766486160734,14.23
132,DELL,-15.692394684761096,15.7
133,DFS,16.185372005044137,22.81
134,DG,2.18844866337815,21.2
135,DGX,-6.820146995244271,20.49
136,DHI,3.6438831131424347,21.64
137,DHR,-11.523650062787777,10.47
138,DIS,2.695898687623822,15.14
139,DLR,14.336648797594185,12.63
140,DLTR,7.42424143407028,18.8
142,DOV,-0.8290221511059199,24.45
143,DOW,-27.52005737080364,19.62
144,DPZ,-1.2903634851244308,27.54
145,DRI,7.920983318700614,27.46
146,DTE,-50.86700666928207,31.28
147,DUK,1.0048176187198898,26.79
148,DVA,4.367764245358808,21.78
149,DVN,-25.632455105518414,31.55
150,DXCM,19.669823040609558,21.72
151,EA,1.798466014281936,12.96
152,EBAY,3.1348892405063293,15.36
153,ECL,7.391548413206094,23.86
154,ED,-6.867625997408442,21.11
155,EFX,2.7159462128694067,21.25
156,EG,17.133374818502386,17.96
157,EIX,-5.3984575835475574,23.97
158,EL,-1.9349051768323935,24.01
159,ELV,8.605696276409478,9.99
160,EMN,-14.87513572204126,24.63
161,EMR,13.303224331122799,22.79
162,ENPH,-1.74905032595799,19.9
163,EOG,-27.21939435769131,34.38
164,EPAM,-2.8601824097012285,27.36
165,EQIX,11.297210989167743,13.14
166,EQR,4.8290096883607445,11.43
167,EQT,-139.46083043292856,31.69
168,ERIE,13.840559214025316,27.91
169,ES,-3.1789134228410494,18.08
170,ESS,3.748723339892596,11.61
171,ETN,10.536299361958958,21.05
172,ETR,-13.31003673868969,24.88
173,EVRG,-6.370502160415381,29.24
174,EW,10.365041300293099,21.7
