,Ticker,ESG Score
1850,CHTTX,22.28
1851,BIGFX,24.19
1852,PGTRX,19.76
1853,EZTGX,22.5
1854,MEFNX,23.87
1855,GIICX,22.3
1856,RRMGX,24.34
1857,PNOPX,20.61
1858,WPSZX,20.1
1859,JMEEX,23.26
1860,AWSHX,23.2
1861,VWNEX,24.28
1862,OGLNX,20.15
1863,GLVYX,21.17
1864,MCGRX,31.84
1865,PNOYX,20.61
1866,DKIJAP.CO,26.54
1867,LTRGX,22.97
1868,GIEYX,21.68
1869,SPSRX,28.13
1870,WILNX,20.36
1871,WEBAX,24.02
1872,WWWFX,19.98
1873,BGLCX,25.42
1874,MCIYX,25.45
1875,HWMAX,26.71
1876,U1IH.SW,21.29
1877,WEMAX,29.41
1878,TFFYX,21.83
1879,WTMCX,25.25
1880,PCIEX,23.38
1881,TWHIX,22.1
1882,HILGX,22.1
1883,ABIAX,22.79
1884,MPEYX,23.74
1885,VITSX,22.77
1886,NDASX,23.9
1887,RBABX,23.66
1888,RAICX,23.57
1889,GIRAX,15.73
1890,BBVANDQNC.MX,20.13
1891,USAWX,23.1
1892,ODVNX,23.3
1893,JRYOX,23.29
1894,PRWAX,22.76
1895,RGWBX,23.49
1896,SCVIX,27.52
1897,FAKDX,24.07
1898,EMRCX,24.7
1899,SIGAX,27.36
1900,DHSYX,29.95
1901,WFEMX,23.59
1902,RPFIX,24.99
1903,NAWCX,22.66
1904,BLARX,24.71
1905,KAUCX,27.61
1906,GLBLX,23.26
1907,BFGBX,20.19
1908,S0841.MC,28.12
1909,PHRIX,16.08
1910,PARJX,23.82
1911,FDFFX,20.06
1912,GTMEX,24.0
1913,MLPDX,40.05
1914,FESOX,23.5
1915,JLKZX,23.23
1916,SOPAX,22.01
1917,PJEZX,16.94
1918,WBLNX,22.99
1919,OPMIX,22.77
1920,CDDYX,22.27
1921,JNVMX,23.87
1922,RMFEX,22.63
1923,THDRX,24.77
1924,GITIX,18.83
1925,CNPFX,23.09
1926,PXQSX,28.63
1927,FZAGX,24.42
1928,ESEE.SG,22.05
1929,DPUYX,19.8
1930,FROTX,24.41
1931,LAFFX,22.16
1932,JRSCX,23.53
1933,LMIYX,29.87
1934,VSNGX,23.26
1935,SMVMX,21.61
1936,EICVX,24.18
1937,SMECX,26.09
1938,AGRCX,21.6
1939,SHAPX,20.9
1940,ASEIX,28.88
1941,GCMAX,24.93
1942,LVOAX,25.7
1943,DFGEX,15.28
1944,EQIDX,25.74
1945,ISNMX,23.17
1946,SASMX,26.57
1947,POMIX,22.7
1948,ONECX,22.91
1949,RALAX,23.9
1950,HVORX,23.36
1951,IOCCX,23.89
1952,WISIX,23.65
1953,FZALX,24.55
1954,FEYTX,23.12
1955,SENCX,21.74
1956,MCLOX,22.64
1957,SAHMX,24.76
1958,MFOCX,20.49
1959,MIOLX,21.85
1960,TGVNX,26.93
1961,ETGLX,23.02
1962,WAFMX,27.61
1963,BUFSX,28.14
1964,SWPPX,22.05
1965,GPSTX,23.27
1966,MRLSX,19.94
1967,WEUSX,22.77
1968,MMKYX,22.81
1969,FEVAX,23.56
1970,DFRSX,27.35
1971,AIIEX,21.13
1972,VIGRX,20.54
1973,GENIX,23.32
1974,UEPIX,24.33
1975,LAMPX,20.88
1976,SHSSX,26.16
1977,JICPX,21.16
1978,SWTSX,22.73
1979,NBRFX,15.73
1980,CTYRX,18.98
1981,MRGSX,22.19
1982,HSIIX,28.48
1983,PJSQX,27.95
1984,RIDCX,24.39
1985,REVRX,23.45
1986,ONGIX,22.91
1987,WEMMX,31.14
1988,IIRLX,21.83
1989,EMCCX,26.4
1990,MENAX,26.89
1991,NQGCX,23.23
1992,FTRNX,21.82
1993,WFEIX,23.25
1994,MAFGX,20.19
1995,TIGGX,22.76
1996,MFADX,24.03
1997,FIFFX,23.58
1998,NMSCX,28.12
1999,GLNBX,21.73
2000,PRDGX,21.85
2001,HLFNX,21.81
2002,FGINX,23.25
2003,IHOSX,21.67
2004,TRLGX,21.44
2005,S0832.MC,22.96
2006,GLVIX,21.17
2007,FIMPX,29.28
2008,FIVMX,23.7
2009,HFMTX,24.79
2010,VSVCX,21.71
2011,VLTCX,24.28
2012,IHOTX,21.67
2013,NGQIX,21.79
2014,PHASX,22.2
2015,GWPAX,23.49
2016,SGSCX,27.14
2017,CVCFX,23.28
2018,FSHOX,18.94
2019,OSTVX,22.21
2020,MAPPX,23.48
2021,DEQAX,20.59
2022,CLXRX,22.05
2023,JCVWX,25.64
2024,FDVLX,24.85
2025,VFWAX,23.86
2026,BABYX,23.33
2027,AMTZX,22.64
2028,HVOYX,23.36
2029,IGNCX,29.65
2030,GOGIX,20.03
2031,FHUL.SG,22.55
2032,EMGYX,24.48
2033,HIASX,27.78
2034,DFEQX,20.46
2035,GMRIX,29.13
2036,RSNKX,41.21
2037,FAFEX,23.91
